노선ID,노선명,노선이력ID,지역ID,노선유형,배차,첫차시간,막차시간,거리,요금,노선설명,운행여부,곡률도,일반첫차일시,당일막차일시,일반막차여부,막차차량ID,저상버스첫차일시,저상버스막차일시,저상버스막차여부,저상버스막차ID,노선약칭,운행종료시간,운행종료이용,사용여부,노선운행구분,최소배차,최대배차,최고속도,최저속도,평균속도,좌석표출여부,운행소요시간,종점대기시간,인가선수,예비차량건수,대표노선ID,도착정보생성유형(1:교차로/2:정류장),기점명(인가정보),종점명(인가정보),배차(토요일),배차(공휴일),첫차시간(토요일),첫차시간(공휴일),막차시간(토요일),막차시간(공휴일)
213000003,27광명,523,213,8,15,0.052000,0.233000,0.0,0.0,정보없음,1,0.0,20160601052000,20160601233000,,0,,,,0,27,,0,1,13,8,23,0,0,0,0,0,0,0,0,0,2,광명돔경륜장.광남문,독산역,12,12,0.052000,0.052000,0.233000,0.233000
232000007,8000김포,523,232,8,40,0.043000,0.231000,0.0,0.0,정보없음,1,0.0,20160601043000,20160601232000,,0,,,,0,8000,,0,1,11,20,60,0,0,0,0,0,0,0,0,0,2,대명항,경방타임스퀘어.신세계백화점,20,20,0.043000,0.043000,0.232000,0.232000
229000036,360파주,523,229,8,40,0.0505,0.2230,0.0,0.0,정보없음,0,0.0,20160601050500,20160601230000,,0,,20150827000000,,0,360,.,0,0,0,20,60,0,0,0,0,0,0,0,0,0,2,금오중학교,불광역4번출구,28,28,0.0505,0.0505,0.2300,0.2300
234001271,1570광주,523,234,8,27,0.051000,0.231000,0.0,0.0,정보없음,1,0.0,20160601051000,20160601231000,,0,,,,0,1570,,0,1,11,14,41,0,0,0,0,0,0,0,0,0,2,광교차고지,신분당선강남역,30,30,0.051000,0.051000,0.231000,0.231000
200000193,5300-1전수원,523,200,8,556,0.070000,0.191500,0.0,0.0,정보없음,1,0.0,20160601070000,20160601201500,,0,,,,0,5300-1전,0.,0,1,11,278,834,0,0,0,0,0,0,0,0,0,1,원영화남아파트,강남역도시에빛,556,556,0.0700,0.0700,0.2015,0.2015
218000002,85-1고양,523,218,8,300,0.0501,0.2215,0.0,0.0,정보없음,0,0.0,20160601050100,20160601221500,,0,,,,0,85-1,0.,0,0,0,150,450,0,0,0,0,0,0,0,0,0,1,고양동종점,송정역,38,38,0.0501,0.0501,0.2215,0.2215
222000004,202남양주,523,222,8,40,0.043700,0.235000,0.0,0.0,정보없음,1,0.0,20160601042700,20160601235000,,0,,,,0,202경기,0.,0,1,13,20,60,0,0,0,0,0,0,0,0,0,1,진벌리차고지(경유),현대코아,7,7,0.0427,0.0427,0.2350,0.2350
236000050,11포천,523,236,8,60,0.050000,0.230000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601230000,,0,,,,0,11,,0,1,11,30,90,0,0,0,0,0,0,0,0,0,2,소학1리,강변역A,60,60,0.050000,0.050000,0.230000,0.230000
100100095,642,0,523,3,14,0.0400,0.2230,55.6,0.0,BASIC,0,0.0,20150717040000,20150717223000,,0,,20150717213400,,0,642,,0,0,0,5,21,0,0,0,1,0,0,0,0,0,2,방화동,논현동,15,18,0.0400,0.0400,0.2230,0.2230
100100514,90S투어,0,,5,0,0.0900,0.1900,0.0,0.0,BASIC,0,5.459,20160601090000,20160601190000,,0,,,,0,90S투어,..,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,광화문,명동,0,0,0.0900,0.0900,0.1900,0.1900
